<indirectly, {'5000-8.txt': 1}>
<from, {'5000-8.txt': 2}>
<any, {'5000-8.txt': 6}>
<of, {'5000-8.txt': 14}>
<the, {'5000-8.txt': 19}>
<following, {'5000-8.txt': 2}>
<that, {'5000-8.txt': 4}>
<you, {'5000-8.txt': 9}>
<do, {'5000-8.txt': 2}>
<or, {'5000-8.txt': 23}>
<cause, {'5000-8.txt': 1}>
<1, {'5000-8.txt': 2}>
<distribution, {'5000-8.txt': 1}>
<this, {'5000-8.txt': 8}>
<eBook, {'5000-8.txt': 10}>
<2, {'5000-8.txt': 2}>
<alteration, {'5000-8.txt': 1}>
<modification, {'5000-8.txt': 1}>
<addition, {'5000-8.txt': 1}>
<to, {'5000-8.txt': 13}>
<3, {'5000-8.txt': 2}>
<Defect, {'5000-8.txt': 1}>
<DISTRIBUTION, {'5000-8.txt': 1}>
<UNDER, {'5000-8.txt': 1}>
<PROJECT, {'5000-8.txt': 1}>
<GUTENBERGtm, {'5000-8.txt': 1}>
<You, {'5000-8.txt': 3}>
<may, {'5000-8.txt': 7}>
<distribute, {'5000-8.txt': 2}>
<copies, {'5000-8.txt': 2}>
<electronically, {'5000-8.txt': 1}>
<by, {'5000-8.txt': 7}>
<disk, {'5000-8.txt': 1}>
<book, {'5000-8.txt': 1}>
<other, {'5000-8.txt': 8}>
<medium, {'5000-8.txt': 1}>
<if, {'5000-8.txt': 2}>
<either, {'5000-8.txt': 1}>
<delete, {'5000-8.txt': 1}>
<Small, {'5000-8.txt': 2}>
<Print, {'5000-8.txt': 2}>
<and, {'5000-8.txt': 9}>
<all, {'5000-8.txt': 2}>
<references, {'5000-8.txt': 1}>
<Project, {'5000-8.txt': 7}>
<Gutenberg, {'5000-8.txt': 6}>
<Only, {'5000-8.txt': 1}>
<give, {'5000-8.txt': 1}>
<exact, {'5000-8.txt': 1}>
<it, {'5000-8.txt': 1}>
<Among, {'5000-8.txt': 1}>
<things, {'5000-8.txt': 1}>
<requires, {'5000-8.txt': 1}>
